slug,name,url,supports,checked,sourceDate,staleOver2Years
anna-maria,Anna Maria,https://www.mymanatee.org/giscomm/rest/services/communityneighborhood/neighborhoods/MapServer/0,"existence,name",2026-09-22,,
anna-maria,Anna Maria,https://www.cityofannamaria.com/,"existence,name,jurisdiction",2026-09-22,,
anna-maria,Anna Maria,https://www.cityofannamaria.com/173/About-Our-City,"description,location,jurisdiction",2026-09-23,,
anna-maria,Anna Maria,https://www.mymanatee.org/giscomm/rest/services/communityneighborhood/neighborhoods/FeatureServer/0,"lat,lng",2026-09-22,,
anna-maria-island,Anna Maria Island,https://www.cityofannamaria.com/173/About-Our-City,"existence,name,description (the three island cities and their positions)",2026-09-23,,
anna-maria-island,Anna Maria Island,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Places_CouSub_ConCity_SubMCD/MapServer,"lat,lng",2026-09-23,,
bayshore,Bayshore,https://www.mymanatee.org/giscomm/rest/services/communityneighborhood/neighborhoods/MapServer/0,"existence,name",2026-09-22,,
bayshore,Bayshore,https://www.mymanatee.org/giscomm/rest/services/communityneighborhood/neighborhoods/FeatureServer/0,"lat,lng",2026-09-22,,
bradenton,Bradenton,https://www.mymanatee.org/giscomm/rest/services/communityneighborhood/neighborhoods/MapServer/0,"existence,name",2026-09-22,,
bradenton,Bradenton,https://www.mymanatee.org/giscomm/rest/services/communityneighborhood/neighborhoods/FeatureServer/0,"lat,lng",2026-09-22,,
bradenton-beach,Bradenton Beach,https://www.mymanatee.org/giscomm/rest/services/communityneighborhood/neighborhoods/MapServer/0,"existence,name",2026-09-22,,
bradenton-beach,Bradenton Beach,https://www.cityofannamaria.com/173/About-Our-City,location,2026-09-23,,
bradenton-beach,Bradenton Beach,https://www.mymanatee.org/giscomm/rest/services/communityneighborhood/neighborhoods/FeatureServer/0,"lat,lng",2026-09-22,,
cortez,Cortez,https://www.mymanatee.org/giscomm/rest/services/communityneighborhood/neighborhoods/MapServer/0,"existence,name",2026-09-22,,
